==================================================
  BATTLE SUMMARY: battle-gen9bssregj-201828
==================================================
Agent:   Gemini
Result:  LOSS
Turns:   70
Logged:  82 decisions
Our team: calyrexice, incineroar, tornadustherian, chienpao, kingambit, amoonguss
Opp team: incineroar, urshifurapidstrike, tornadustherian

Turn-by-turn:
  T 1: switch incineroar              [LLM]
  T 2: move partingshot               [LLM]
  T 2: move knock off                 [LLM]
  T 3: switch incineroar              [LLM]
  T 4: move partingshot               [LLM]
  T 4: switch amoonguss               [LLM]
  T 5: move spore                     [LLM]
  T 6: move spore                     [LLM]
  T 7: move spore                     [LLM]
  T 8: move spore                     [LLM]
  T 9: move spore                     [LLM]
  T10: move spore                     [LLM]
  T11: move spore                     [LLM]
  T12: move spore                     [LLM]
  T13: move spore                     [LLM]
  T14: move protect                   [LLM]
  T15: switch calyrexice              [LLM]
  T16: move glaciallance              [LLM]
  T17: move glaciallance              [LLM]
  T17: switch incineroar              [LLM]
  T18: move fakeout                   [LLM]
  T19: switch amoonguss               [LLM]
  T20: move spore                     [LLM]
  T21: move spore                     [LLM]
  T22: move spore                     [LLM]
  T23: move spore                     [LLM]
  T24: move spore                     [LLM]
  T25: move spore                     [LLM]
  T26: move spore                     [LLM]
  T27: move spore                     [LLM]
  T28: move spore                     [LLM]
  T29: move spore                     [LLM]
  T30: switch incineroar              [LLM]
  T31: move partingshot               [LLM]
  T31: move flare blitz               [LLM]
  T32: switch incineroar              [LLM]
  T33: move partingshot               [LLM]
  T33: switch amoonguss               [LLM]
  T34: move spore                     [LLM]
  T35: move spore                     [LLM]
  T36: move spore                     [LLM]
  T37: move spore                     [LLM]
  T38: move spore                     [LLM]
  T39: move protect                   [LLM]
  T40: move protect                   [LLM]
  T41: move protect                   [LLM]
  T42: switch incineroar              [LLM]
  T43: switch amoonguss               [LLM]
  T44: move protect                   [LLM]
  T45: switch incineroar              [LLM]
  T46: move partingshot               [LLM]
  T46: switch amoonguss               [LLM]
  T47: switch incineroar              [LLM]
  T48: move partingshot               [LLM]
  T48: switch amoonguss               [LLM]
  T49: switch incineroar              [LLM]
  T50: move partingshot               [LLM]
  T50: switch amoonguss               [LLM]
  T51: switch incineroar              [LLM]
  T52: move partingshot               [LLM]
  T52: move flare blitz               [LLM]
  T53: switch incineroar              [LLM]
  T54: move partingshot               [LLM]
  T54: switch amoonguss               [LLM]
  T55: switch incineroar              [LLM]
  T56: move partingshot               [LLM]
  T56: switch amoonguss               [LLM]
  T57: switch incineroar              [LLM]
  T57: switch tornadustherian         [LLM]
  T58: move protect                   [LLM]
  T59: move protect                   [LLM]
  T60: move protect                   [LLM]
  T61: move protect                   [LLM]
  T62: switch tornadustherian         [LLM]
  T63: move protect                   [LLM]
  T64: move protect                   [LLM]
  T65: move protect                   [LLM]
  T66: move protect                   [LLM]
  T67: switch tornadustherian         [LLM]
  T68: switch tornadustherian         [LLM]
  T69: move protect                   [LLM]
  T70: move protect                   [LLM]

Timestamp: 2026-04-20T10:36:33.544847
