==================================================
  BATTLE SUMMARY: battle-gen9bssregj-201663
==================================================
Agent:   Gemini
Result:  LOSS
Turns:   33
Logged:  35 decisions
Our team: incineroar, fluttermane, calyrexice, kingambit, chienpao, dragonite
Opp team: gholdengo, incineroar, urshifurapidstrike

Turn-by-turn:
  T 1: switch incineroar              [LLM]
  T 2: move gholdengo                 [LLM]
  T 3: move gholdengo                 [LLM]
  T 4: move gholdengo                 [LLM]
  T 5: move gholdengo                 [LLM]
  T 6: move gholdengo                 [LLM]
  T 7: move gholdengo                 [LLM]
  T 8: move gholdengo                 [LLM]
  T 9: move gholdengo                 [LLM]
  T10: move incineroar                [LLM]
  T11: move incineroar                [LLM]
  T12: switch kingambit               [LLM]
  T13: switch incineroar              [LLM]
  T14: move incineroar                [LLM]
  T15: move incineroar                [LLM]
  T16: move incineroar                [LLM]
  T17: move incineroar                [LLM]
  T18: move incineroar                [LLM]
  T19: move incineroar                [LLM]
  T20: move incineroar                [LLM]
  T21: switch kingambit               [LLM]
  T22: switch calyrexice              [LLM]
  T23: move incineroar                [LLM]
  T24: move incineroar                [LLM]
  T25: move incineroar                [LLM]
  T26: switch kingambit               [LLM]
  T27: move gholdengo                 [LLM]
  T28: switch calyrexice              [LLM]
  T29: switch incineroar              [LLM]
  T29: switch rillaboom               [LLM]
  T30: switch calyrexice              [LLM]
  T31: switch kingambit               [LLM]
  T32: switch fluttermane             [LLM]
  T32: switch dragonite               [LLM]
  T33: switch dragonite               [LLM]

Timestamp: 2026-04-11T19:40:33.993684
